"source","state_name","school_year","year","population_size","any_rate","medical_rate","non_medical_rate","any_n","medical_n","non_medical_n"
"school_vax_view","Tennessee","2021-22",2021,79120,2.4,0.1,2.3,1927,93,1834
"school_vax_view","Tennessee","2022-23",2022,79692,3.2,0.2,3,2529,122,2407
"school_vax_view","Tennessee","2023-24",2023,79323,3.6,0.1,3.4,2829,107,2722
"school_vax_view","Tennessee","2024-25",2024,78299,3.8,0.1,3.7,2985,100,2884
"school_vax_view","Texas","2019-20",2019,398680,2.5,0.2,2.2,9894,929,8965
"school_vax_view","Texas","2020-21",2020,377840,2.3,0.2,2.1,8817,699,8118
"school_vax_view","Texas","2021-22",2021,389037,2.9,0.2,2.7,11166,849,10316
"school_vax_view","Texas","2022-23",2022,381680,3.5,0.2,3.3,13281,850,12431
"school_vax_view","Texas","2023-24",2023,381421,3.9,0.2,3.6,14727,817,13910
"school_vax_view","Texas","2024-25",2024,378860,4.3,0.3,4,16417,1210,15207
"school_vax_view","United States","2019-20",2019,NA,2.5,0.3,2.2,NA,NA,NA
"school_vax_view","United States","2020-21",2020,3520205,2.2,0.2,1.9,76888,8335,67809
"school_vax_view","United States","2021-22",2021,3835130,2.6,0.2,2.3,98069,8230,88955
"school_vax_view","United States","2022-23",2022,3832381,3,0.2,2.8,115575,8761,106466
"school_vax_view","United States","2023-24",2023,3823506,3.3,0.2,3.1,127591,8154,118409
"school_vax_view","United States","2024-25",2024,3785644,3.6,0.2,3.4,137938,8293,128894
"school_vax_view","Utah","2019-20",2019,49208,5.4,0.1,5.2,2639,59,2580
"school_vax_view","Utah","2020-21",2020,46247,5.1,0.1,5,2366,58,2308
"school_vax_view","Utah","2021-22",2021,48995,7.4,0.3,7.1,3606,129,3477
"school_vax_view","Utah","2022-23",2022,46635,8.1,0.1,8,3786,57,3729
"school_vax_view","Utah","2023-24",2023,46228,9.3,0.2,9.1,4311,93,4218
"school_vax_view","Utah","2024-25",2024,45818,10.3,0.3,10,4729,138,4591
"school_vax_view","Vermont","2019-20",2019,6293,3.7,0.1,3.5,232,9,223
"school_vax_view","Vermont","2020-21",2020,5535,3.2,0.1,3.1,176,6,170
