"source","vaccine","state_name","season","season_start","month","month_rank","vaccine_coverage_estimate","sample_size"
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"OCT",2,23.4885014836795,21568
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"NOV",3,33.8066453000122,24649
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"DEC",4,37.4995492409217,27731
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"JAN",5,38.192911852525,30812
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"FEB",6,37.5918331218836,33893
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"MAR",7,36.8015362146373,36974
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"SEP",1,3.1318923687693,18136
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"OCT",2,31.9580320431022,21159
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"NOV",3,42.4093296389727,24181
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"DEC",4,44.4787531245405,27204
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"JAN",5,43.7456578555596,30227
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"FEB",6,42.2388643267467,33249
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"MAR",7,41.4727613586237,36272
"cdc_iis","nirsevimab","Iowa","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Kansas","2024-25",2024,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Kansas","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"SEP",1,1.19591712370506,26256
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"OCT",2,21.0081290196206,30631
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"NOV",3,30.6195903676408,35007
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"DEC",4,35.2385547063454,39383
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"JAN",5,35.0396489864942,43759
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"FEB",6,35.3422665420172,48135
"cdc_iis","nirsevimab","Kentucky","2024-25",2024,"MAR",7,35.6991868370437,52511
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"SEP",1,1.18735015412718,26277
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"OCT",2,28.9721760120038,30657
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"NOV",3,38.3776686836397,35036
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"DEC",4,41.2472092551248,39416
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"JAN",5,41.1097157209727,43795
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"FEB",6,40.3217436429683,48175
