"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","PCV","Pennsylvania",2021,"birth_cohort",87.1,"82.9 to 90.6",668
"child_vax_view","PCV","Pennsylvania",2022,"birth_cohort",83.5,"77.0 to 89.0",359
"child_vax_view","PCV","Puerto Rico",2019,"birth_cohort",54.7,"47.3 to 62.4",319
"child_vax_view","PCV","Puerto Rico",2020,"birth_cohort",70,"62.9 to 76.7",337
"child_vax_view","PCV","Puerto Rico",2021,"birth_cohort",77.9,"66.8 to 87.3",338
"child_vax_view","PCV","Puerto Rico",2022,"birth_cohort",53.3,"43.1 to 64.2",185
"child_vax_view","PCV","Rhode Island",2019,"birth_cohort",92.9,"88.2 to 96.2",277
"child_vax_view","PCV","Rhode Island",2020,"birth_cohort",95.3,"91.9 to 97.6",301
"child_vax_view","PCV","Rhode Island",2021,"birth_cohort",93.8,"89.8 to 96.6",354
"child_vax_view","PCV","Rhode Island",2022,"birth_cohort",90.4,"84.6 to 94.7",201
"child_vax_view","PCV","South Carolina",2019,"birth_cohort",89.6,"83.4 to 94.2",245
"child_vax_view","PCV","South Carolina",2020,"birth_cohort",87.8,"78.8 to 94.2",243
"child_vax_view","PCV","South Carolina",2021,"birth_cohort",81.1,"75.0 to 86.5",300
"child_vax_view","PCV","South Carolina",2022,"birth_cohort",88.1,"81.2 to 93.3",160
"child_vax_view","PCV","South Dakota",2019,"birth_cohort",88.9,"83.1 to 93.5",318
"child_vax_view","PCV","South Dakota",2020,"birth_cohort",78.7,"70.7 to 85.6",289
"child_vax_view","PCV","South Dakota",2021,"birth_cohort",84.7,"75.8 to 91.7",279
"child_vax_view","PCV","South Dakota",2022,"birth_cohort",86.6,"78.3 to 92.9",145
"child_vax_view","PCV","Tennessee",2019,"birth_cohort",87.9,"83.3 to 91.7",396
"child_vax_view","PCV","Tennessee",2020,"birth_cohort",84.3,"77.2 to 90.2",363
"child_vax_view","PCV","Tennessee",2021,"birth_cohort",87.2,"82.0 to 91.6",336
"child_vax_view","PCV","Tennessee",2022,"birth_cohort",85,"73.8 to 93.2",182
"child_vax_view","PCV","Texas",2019,"birth_cohort",86.1,"81.4 to 90.0",919
"child_vax_view","PCV","Texas",2020,"birth_cohort",80,"74.6 to 84.9",795
"child_vax_view","PCV","Texas",2021,"birth_cohort",81.8,"77.3 to 86.0",814
"child_vax_view","PCV","Texas",2022,"birth_cohort",73.1,"66.6 to 79.2",541
"child_vax_view","PCV","United States",2019,"birth_cohort",86.5,"85.3 to 87.7",17265
"child_vax_view","PCV","United States",2020,"birth_cohort",83.3,"82.0 to 84.6",17387
"child_vax_view","PCV","United States",2021,"birth_cohort",83.9,"82.7 to 85.0",17612
"child_vax_view","PCV","United States",2022,"birth_cohort",82.9,"81.2 to 84.6",9780
"child_vax_view","PCV","Utah",2019,"birth_cohort",91,"86.2 to 94.7",330
"child_vax_view","PCV","Utah",2020,"birth_cohort",86,"81.2 to 90.2",333
"child_vax_view","PCV","Utah",2021,"birth_cohort",82.5,"76.8 to 87.5",332
"child_vax_view","PCV","Utah",2022,"birth_cohort",85,"76.0 to 91.9",149
"child_vax_view","PCV","Vermont",2019,"birth_cohort",95.8,"87.0 to 99.3",334
"child_vax_view","PCV","Vermont",2020,"birth_cohort",92.5,"87.7 to 96.0",307
"child_vax_view","PCV","Vermont",2021,"birth_cohort",86.3,"78.7 to 92.2",281
"child_vax_view","PCV","Vermont",2022,"birth_cohort",95.7,"88.9 to 98.9",187
"child_vax_view","PCV","Virginia",2019,"birth_cohort",94.6,"87.0 to 98.5",452
"child_vax_view","PCV","Virginia",2020,"birth_cohort",80.8,"74.4 to 86.5",494
"child_vax_view","PCV","Virginia",2021,"birth_cohort",86.3,"80.9 to 90.8",450
"child_vax_view","PCV","Virginia",2022,"birth_cohort",88.9,"82.8 to 93.6",241
"child_vax_view","PCV","Washington",2019,"birth_cohort",89,"84.5 to 92.6",455
"child_vax_view","PCV","Washington",2020,"birth_cohort",87.2,"82.4 to 91.1",445
"child_vax_view","PCV","Washington",2021,"birth_cohort",85.6,"79.5 to 90.7",394
"child_vax_view","PCV","Washington",2022,"birth_cohort",83.3,"77.1 to 88.6",211
"child_vax_view","PCV","West Virginia",2019,"birth_cohort",82.1,"75.2 to 88.0",201
"child_vax_view","PCV","West Virginia",2020,"birth_cohort",81.1,"74.7 to 86.6",271
"child_vax_view","PCV","West Virginia",2021,"birth_cohort",89.1,"83.8 to 93.3",279
"child_vax_view","PCV","West Virginia",2022,"birth_cohort",91,"84.7 to 95.5",180
"child_vax_view","PCV","Wisconsin",2019,"birth_cohort",84.8,"77.8 to 90.5",224
"child_vax_view","PCV","Wisconsin",2020,"birth_cohort",86.7,"80.7 to 91.6",287
"child_vax_view","PCV","Wisconsin",2021,"birth_cohort",85.8,"78.6 to 91.5",317
"child_vax_view","PCV","Wisconsin",2022,"birth_cohort",87.2,"78.6 to 93.6",164
"child_vax_view","PCV","Wyoming",2019,"birth_cohort",84,"77.6 to 89.3",260
"child_vax_view","PCV","Wyoming",2020,"birth_cohort",80,"74.1 to 85.4",296
"child_vax_view","PCV","Wyoming",2021,"birth_cohort",76.2,"68.9 to 82.8",306
"child_vax_view","PCV","Wyoming",2022,"birth_cohort",78,"69.1 to 85.8",157
