source,state_name,school_year,year,exemption_type,exemption_rate,population_size,number_of_exemptions
school_vax_view,Kentucky,2021-22,2021,medical,0.2,59233,95
school_vax_view,Kentucky,2021-22,2021,non_medical,1.1,59233,679
school_vax_view,Kentucky,2022-23,2022,any,1.7,54742,958
school_vax_view,Kentucky,2022-23,2022,medical,0.2,54742,95
school_vax_view,Kentucky,2022-23,2022,non_medical,1.6,54742,863
school_vax_view,Kentucky,2023-24,2023,any,2.3,52609,1184
school_vax_view,Kentucky,2023-24,2023,medical,0.2,52609,111
school_vax_view,Kentucky,2023-24,2023,non_medical,2.0,52609,1073
school_vax_view,Kentucky,2024-25,2024,any,2.2,51319,1114
school_vax_view,Kentucky,2024-25,2024,medical,0.1,51319,73
school_vax_view,Kentucky,2024-25,2024,non_medical,2.0,51319,1041
school_vax_view,Louisiana,2019-20,2019,any,1.5,59685,884
school_vax_view,Louisiana,2019-20,2019,medical,0.2,59685,92
school_vax_view,Louisiana,2019-20,2019,non_medical,1.3,59685,792
school_vax_view,Louisiana,2020-21,2020,any,1.1,61912,664
school_vax_view,Louisiana,2020-21,2020,medical,0.1,61912,48
school_vax_view,Louisiana,2020-21,2020,non_medical,1.0,61912,616
school_vax_view,Louisiana,2021-22,2021,any,1.1,66518,753
school_vax_view,Louisiana,2021-22,2021,medical,0.0,66518,29
school_vax_view,Louisiana,2021-22,2021,non_medical,1.1,66518,724
school_vax_view,Louisiana,2022-23,2022,any,2.3,54314,1227
school_vax_view,Louisiana,2022-23,2022,medical,0.1,54314,72
school_vax_view,Louisiana,2022-23,2022,non_medical,2.1,54314,1155
school_vax_view,Louisiana,2023-24,2023,any,2.8,51839,1462
school_vax_view,Louisiana,2023-24,2023,medical,0.1,51839,56
school_vax_view,Louisiana,2023-24,2023,non_medical,2.7,51839,1406
school_vax_view,Louisiana,2024-25,2024,any,3.1,49229,1519
school_vax_view,Louisiana,2024-25,2024,medical,0.1,49229,61
school_vax_view,Louisiana,2024-25,2024,non_medical,3.0,49229,1458
school_vax_view,Maine,2019-20,2019,any,5.9,13450,795
school_vax_view,Maine,2019-20,2019,medical,0.3,13450,40
school_vax_view,Maine,2019-20,2019,non_medical,5.6,13450,755
school_vax_view,Maine,2020-21,2020,any,4.5,13477,612
school_vax_view,Maine,2020-21,2020,medical,0.5,13477,64
school_vax_view,Maine,2020-21,2020,non_medical,4.1,13477,548
school_vax_view,Maine,2021-22,2021,any,1.8,12881,232
school_vax_view,Maine,2021-22,2021,medical,1.5,12881,199
school_vax_view,Maine,2021-22,2021,non_medical,0.3,12881,33
school_vax_view,Maine,2022-23,2022,any,0.9,12403,113
school_vax_view,Maine,2022-23,2022,medical,0.8,12403,98
school_vax_view,Maine,2022-23,2022,non_medical,0.1,12403,15
school_vax_view,Maine,2023-24,2023,any,1.0,12087,119
school_vax_view,Maine,2023-24,2023,medical,0.9,12087,112
school_vax_view,Maine,2023-24,2023,non_medical,0.1,12087,7
school_vax_view,Maine,2024-25,2024,any,0.8,11761,97
school_vax_view,Maine,2024-25,2024,medical,0.8,11761,97
school_vax_view,Maryland,2019-20,2019,any,1.4,72443,991
school_vax_view,Maryland,2019-20,2019,medical,0.4,72443,273
school_vax_view,Maryland,2019-20,2019,non_medical,1.0,72443,718
school_vax_view,Maryland,2020-21,2020,any,0.9,65764,610
school_vax_view,Maryland,2020-21,2020,medical,0.2,65764,109
school_vax_view,Maryland,2020-21,2020,non_medical,0.8,65764,501
school_vax_view,Maryland,2021-22,2021,any,1.5,53866,801
school_vax_view,Maryland,2021-22,2021,medical,0.5,53866,258
school_vax_view,Maryland,2021-22,2021,non_medical,1.0,53866,543
school_vax_view,Maryland,2022-23,2022,any,1.9,59684,1143
school_vax_view,Maryland,2022-23,2022,medical,0.5,59684,307
school_vax_view,Maryland,2022-23,2022,non_medical,1.4,59684,836
school_vax_view,Maryland,2023-24,2023,any,2.2,63224,1393
school_vax_view,Maryland,2023-24,2023,medical,0.7,63224,451
school_vax_view,Maryland,2023-24,2023,non_medical,1.5,63224,942
school_vax_view,Maryland,2024-25,2024,any,2.2,66135,1472
school_vax_view,Maryland,2024-25,2024,medical,0.5,66135,346
school_vax_view,Maryland,2024-25,2024,non_medical,1.7,66135,1126
school_vax_view,Massachusetts,2019-20,2019,any,1.3,66756,890
school_vax_view,Massachusetts,2019-20,2019,medical,0.2,66756,153
school_vax_view,Massachusetts,2019-20,2019,non_medical,1.1,66756,737
school_vax_view,Massachusetts,2020-21,2020,any,1.1,60724,693
school_vax_view,Massachusetts,2020-21,2020,medical,0.2,60724,127
school_vax_view,Massachusetts,2020-21,2020,non_medical,0.9,60724,566
school_vax_view,Massachusetts,2021-22,2021,any,1.0,65582,688
school_vax_view,Massachusetts,2021-22,2021,medical,0.2,65582,116
school_vax_view,Massachusetts,2021-22,2021,non_medical,0.9,65582,572
school_vax_view,Massachusetts,2022-23,2022,any,1.4,66041,925
school_vax_view,Massachusetts,2022-23,2022,medical,0.2,66041,112
school_vax_view,Massachusetts,2022-23,2022,non_medical,1.2,66041,813
school_vax_view,Massachusetts,2023-24,2023,any,1.4,65424,939
school_vax_view,Massachusetts,2023-24,2023,medical,0.2,65424,126
school_vax_view,Massachusetts,2023-24,2023,non_medical,1.2,65424,813
school_vax_view,Massachusetts,2024-25,2024,any,1.5,65581,968
school_vax_view,Massachusetts,2024-25,2024,medical,0.1,65581,98
school_vax_view,Massachusetts,2024-25,2024,non_medical,1.3,65581,870
school_vax_view,Michigan,2019-20,2019,any,4.4,120565,5320
school_vax_view,Michigan,2019-20,2019,medical,0.2,120565,290
school_vax_view,Michigan,2019-20,2019,non_medical,4.2,120565,5030
school_vax_view,Michigan,2020-21,2020,any,3.7,106657,3946
school_vax_view,Michigan,2020-21,2020,medical,0.2,106657,217
school_vax_view,Michigan,2020-21,2020,non_medical,3.5,106657,3729
school_vax_view,Michigan,2021-22,2021,any,4.5,114251,5191
school_vax_view,Michigan,2021-22,2021,medical,0.2,114251,266
school_vax_view,Michigan,2021-22,2021,non_medical,4.3,114251,4925
school_vax_view,Michigan,2022-23,2022,any,5.4,113678,6180
school_vax_view,Michigan,2022-23,2022,medical,0.2,113678,227
school_vax_view,Michigan,2022-23,2022,non_medical,5.2,113678,5953
school_vax_view,Michigan,2023-24,2023,any,5.6,110156,6138
school_vax_view,Michigan,2023-24,2023,medical,0.2,110156,216
school_vax_view,Michigan,2023-24,2023,non_medical,5.4,110156,5922
