"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"4839","Exemption","Medical Exemption","States","Louisiana","2015-16","0.1",59159,NA,"",75,"Census"
"4840","Exemption","Medical Exemption","States","Maine","2015-16","0.5",13526,NA,"",69,"Census"
"4841","Exemption","Medical Exemption","States","Maryland","2015-16","0.5",72012,NA,"",348,"Census (public); Voluntary response (private)"
"4842","Exemption","Medical Exemption","States","Massachusetts","2015-16","0.3",72897,NA,"",216,"Census"
"4843","Exemption","Medical Exemption","States","Michigan","2015-16","0.2",116299,NA,"",246,"Census"
"4844","Exemption","Medical Exemption","States","Minnesota","2015-16","0.2",69710,NA,"§",139,"Census"
"4845","Exemption","Medical Exemption","States","Mississippi","2015-16","0.1",41042,NA,"<",18,"Census"
"4846","Exemption","Medical Exemption","States","Missouri","2015-16","0.2",74413,NA,"§",149,"Census"
"4847","Exemption","Medical Exemption","States","Montana","2015-16","0.4",11484,NA,"",49,"Census"
"4848","Exemption","Medical Exemption","States","Nebraska","2015-16","0.6",30409,NA,"",186,"Census"
"4849","Exemption","Medical Exemption","States","Nevada","2015-16","0.1",37118,NA,"",37,"Stratified 2-stage cluster sample"
"4850","Exemption","Medical Exemption","States","New Hampshire","2015-16","0.2",11852,NA,"",21,"Census"
"4851","Exemption","Medical Exemption","States","New Jersey","2015-16","0.2",110116,NA,"",211,"Census"
"4852","Exemption","Medical Exemption","States","New Mexico","2015-16","0.1",29049,NA,"",19,"Census"
"4853","Exemption","Medical Exemption","States","New York","2015-16","0.1",232521,NA,"",323,"Census"
"4854","Exemption","Medical Exemption","States","North Carolina","2015-16","0.1",128290,NA,"",141,"Census (public); Voluntary response (private)"
"4855","Exemption","Medical Exemption","States","North Dakota","2015-16","0.3",9875,NA,"",30,"Census"
"4856","Exemption","Medical Exemption","States","Ohio","2015-16","0.2",144604,NA,"",358,"Census (public); Voluntary response (private)"
"4857","Exemption","Medical Exemption","States","Oklahoma","2015-16","0.1",54335,NA,"",79,"Census"
"4858","Exemption","Medical Exemption","States","Oregon","2015-16","0.1",45531,NA,"",61,"Census"
"4859","Exemption","Medical Exemption","States","Pennsylvania","2015-16","0.4",143298,NA,"",511,"Census (public); Voluntary response (private)"
"4860","Exemption","Medical Exemption","States","Rhode Island","2015-16","0.2",11165,NA,"",21,"Census"
"4861","Exemption","Medical Exemption","States","South Carolina","2015-16","0.1",59240,NA,"<",23,"Stratified 1-stage cluster sample"
"4862","Exemption","Medical Exemption","States","South Dakota","2015-16","0.2",12181,NA,"",22,"Census"
"4863","Exemption","Medical Exemption","States","Tennessee","2015-16","0.1",79233,NA,"",111,"Census"
"4864","Exemption","Medical Exemption","States","Texas","2015-16","0.2",394801,NA,"",821,"Census (public); Voluntary response (private)"
"4865","Exemption","Medical Exemption","States","Utah","2015-16","0.2",50114,NA,"",88,"Census"
"4866","Exemption","Medical Exemption","States","Vermont","2015-16","0.1",6366,NA,"",9,"Census"
"4867","Exemption","Medical Exemption","States","Virginia","2015-16","0.3",100074,NA,"",254,"Stratified 2-stage cluster sample"
"4868","Exemption","Medical Exemption","States","Washington","2015-16","1.0",86492,NA,"",862,"Census"
"4869","Exemption","Medical Exemption","States","West Virginia","2015-16","0.2",21333,NA,"",35,"Voluntary response"
"4870","Exemption","Medical Exemption","States","Wisconsin","2015-16","0.3",70220,NA,"",244,"Stratified 2-stage cluster sample"
"4871","Exemption","Medical Exemption","States","Wyoming","2015-16","0.2",7825,NA,"§.‡‡",16,"Voluntary response"
"4872","Exemption","Medical Exemption","States","Alabama","2016-17","0.1",58394,NA,"",62,"Census"
"4873","Exemption","Medical Exemption","States","Alaska","2016-17","1.5",9815,NA,"",149,"Census"
"4874","Exemption","Medical Exemption","States","Arizona","2016-17","0.2",83627,NA,"",134,"Census"
"4875","Exemption","Medical Exemption","States","Arkansas","2016-17","0.1",39666,NA,"",24,"Voluntary response"
"4876","Exemption","Medical Exemption","States","California","2016-17","0.5",575305,NA,"",2928,"Census"
"4877","Exemption","Medical Exemption","States","Colorado","2016-17","0.2",64440,NA,"§",129,"Census"
"4878","Exemption","Medical Exemption","States","Connecticut","2016-17","0.3",39002,NA,"",107,"Census"
"4879","Exemption","Medical Exemption","States","Delaware","2016-17","0.1",11490,NA,"<",7,"Stratified 2-stage cluster sample"
"4880","Exemption","Medical Exemption","States","District of Columbia","2016-17","0.6",8522,NA,"",47,"Census"
"4881","Exemption","Medical Exemption","States","Florida","2016-17","0.4",224463,NA,"",841,"Census"
"4882","Exemption","Medical Exemption","States","Georgia","2016-17","0.1",136165,NA,"",198,"Census"
"4883","Exemption","Medical Exemption","States","Hawaii","2016-17","0.1",16325,NA,"",20,"Stratified 2-stage cluster sample"
"4884","Exemption","Medical Exemption","States","Idaho","2016-17","0.4",22589,NA,"",86,"Census"
"4885","Exemption","Medical Exemption","States","Illinois","2016-17","0.2",151309,NA,"§",303,"Census"
"4886","Exemption","Medical Exemption","States","Indiana","2016-17","0.1",83263,NA,"",112,"Voluntary response"
"4887","Exemption","Medical Exemption","States","Iowa","2016-17","0.2",39587,NA,"",79,"Census"
"4888","Exemption","Medical Exemption","States","Kansas","2016-17","0.3",38298,NA,"",115,"Census"
"4889","Exemption","Medical Exemption","States","Kentucky","2016-17","0.4",51487,NA,"",217,"Census"
"4890","Exemption","Medical Exemption","States","Louisiana","2016-17","0.1",55257,NA,"",54,"Census"
"4891","Exemption","Medical Exemption","States","Maine","2016-17","0.2",13834,NA,"",32,"Voluntary response (public). census (private)"
"4892","Exemption","Medical Exemption","States","Maryland","2016-17","0.5",71467,NA,"",391,"Census"
"4893","Exemption","Medical Exemption","States","Massachusetts","2016-17","0.3",70109,NA,"",191,"Census"
"4894","Exemption","Medical Exemption","States","Michigan","2016-17","0.2",118777,NA,"",213,"Census"
"4895","Exemption","Medical Exemption","States","Minnesota","2016-17","0.2",69140,NA,"§",138,"Census"
"4896","Exemption","Medical Exemption","States","Mississippi","2016-17","0.1",40509,NA,"",31,"Census"
"4897","Exemption","Medical Exemption","States","Missouri","2016-17","0.2",73355,NA,"§",147,"Census"
"4898","Exemption","Medical Exemption","States","Montana","2016-17","0.4",11956,NA,"",53,"Census"
"4899","Exemption","Medical Exemption","States","Nebraska","2016-17","0.7",27117,NA,"§§",186,"Census"
"4900","Exemption","Medical Exemption","States","Nevada","2016-17","0.1",36885,NA,"",53,"Stratified 2-stage cluster sample"
"4901","Exemption","Medical Exemption","States","New Hampshire","2016-17","0.2",12145,NA,"",29,"Census"
"4902","Exemption","Medical Exemption","States","New Jersey","2016-17","0.2",109577,NA,"",196,"Census"
"4903","Exemption","Medical Exemption","States","New Mexico","2016-17","0.1",27119,NA,"<",6,"Stratified 2-stage cluster sample"
"4904","Exemption","Medical Exemption","States","New York","2016-17","0.2",227050,NA,"",345,"Census"
"4905","Exemption","Medical Exemption","States","North Carolina","2016-17","0.1",126454,NA,"",174,"Voluntary response"
"4906","Exemption","Medical Exemption","States","North Dakota","2016-17","0.2",9799,NA,"",24,"Census"
"4907","Exemption","Medical Exemption","States","Ohio","2016-17","0.3",137542,NA,"",414,"Census"
"4908","Exemption","Medical Exemption","States","Oklahoma","2016-17","0.2",52184,NA,"‡‡",79,"Census"
"4909","Exemption","Medical Exemption","States","Oregon","2016-17","0.1",45705,NA,"",55,"Census"
"4910","Exemption","Medical Exemption","States","Pennsylvania","2016-17","0.4",143888,NA,"",537,"Voluntary response"
"4911","Exemption","Medical Exemption","States","Rhode Island","2016-17","0.2",11100,NA,"",22,"Census"
"4912","Exemption","Medical Exemption","States","South Carolina","2016-17","0.1",59177,NA,"",55,"Stratified 1-stage cluster sample"
"4913","Exemption","Medical Exemption","States","South Dakota","2016-17","0.2",12106,NA,"",21,"Census"
"4914","Exemption","Medical Exemption","States","Tennessee","2016-17","0.1",78169,NA,"",103,"Census"
"4915","Exemption","Medical Exemption","States","Texas","2016-17","0.2",389999,NA,"",822,"Census"
"4916","Exemption","Medical Exemption","States","Utah","2016-17","0.2",49073,NA,"",88,"Census"
"4917","Exemption","Medical Exemption","States","Vermont","2016-17","0.2",6344,NA,"",15,"Census"
"4918","Exemption","Medical Exemption","States","Virginia","2016-17","0.2",102357,NA,"",225,"Census"
"4919","Exemption","Medical Exemption","States","Washington","2016-17","0.9",87142,NA,"",805,"Census"
"4920","Exemption","Medical Exemption","States","West Virginia","2016-17","0.3",28666,NA,"",75,"Census (public). voluntary response (private)"
"4921","Exemption","Medical Exemption","States","Wisconsin","2016-17","0.3",67607,NA,"",194,"Census"
"4922","Exemption","Medical Exemption","States","Wyoming","2016-17",NA,NA,NA,"",NA,"Not conducted"
"4923","Exemption","Medical Exemption","States","Alabama","2017-18","0.1",57245,NA,"",59,"Census"
"4924","Exemption","Medical Exemption","States","Alaska","2017-18","0.8",9692,NA,"",75,"Stratified 2-stage cluster sample"
"4925","Exemption","Medical Exemption","States","Arizona","2017-18","0.5",81710,NA,"",400,"Census"
